office,district,effective_date,summary
State Representative,Sixteenth Middlesex,2023-01-04,"The Massachusetts Sixteenth Middlesex State Representative District covers parts of Chelmsford and Lowell, with a population of 43,352. The current incumbent is Democratic Representative Rodney M. Elliott of Lowell, who was elected in 2022 with 65% of the vote and is running unopposed in the 2024 election."
State Representative,Sixteenth Suffolk,2023-01-04,"The Massachusetts Sixteenth Suffolk State Representative District is represented by incumbent Democrat Jessica Ann Giannino from Revere. The district encompasses most of Revere and a small portion of Saugus, with a population of approximately 40,000 residents."
State Representative,Sixteenth Worcester,2023-01-04,"Massachusetts Sixteenth Worcester State Representative District encompasses 13 precincts in Worcester. The current incumbent is Democrat Daniel M. Donahue of Worcester, who has represented the district since winning a special election in 2013 and has run unopposed in most recent elections."
State Representative,Sixth Bristol,2023-01-04,"The Massachusetts Sixth Bristol State Representative District includes parts of Fall River and one precinct in Freetown, with a population of 42,660. The current incumbent is Democrat Carole A. Fiola of Fall River, who has held the seat since winning a special election in September 2013."
State Representative,Sixth Essex,2023-01-04,"The district encompasses Beverly and Wenham, with a population of 43,831. The incumbent is Democratic State Representative Jerald A. Parisella of Beverly, who has represented the district since 2010, consistently winning reelection, most recently with 71% of the vote in 2024."
State Representative,Sixth Hampden,2023-01-04,"The Massachusetts Sixth Hampden State Representative District includes portions of Agawam, Chicopee, West Springfield, and Westfield, with a population of approximately 43,764. The current incumbent is Democratic Representative Michael J. Finn of West Springfield, who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,Sixth Middlesex,2023-01-04,"The Massachusetts Sixth Middlesex State Representative District encompasses Framingham with a diverse population of 40,033 residents. The current incumbent is Democrat Priscila S. Sousa from Framingham, who won reelection in 2022 and 2024 with 100% of the vote."
State Representative,Sixth Norfolk,2023-01-04,"The Massachusetts Sixth Norfolk State Representative District encompasses Avon, Canton, and parts of Stoughton, with a population of 43,712. The district is currently represented by William C. Galvin (D-Canton), who has consistently won elections since at least 1990, often running unopposed in recent elections."
State Representative,Sixth Plymouth,2023-01-04,"The Massachusetts Sixth Plymouth State Representative District covers Duxbury, parts of Halifax, Hanson, Marshfield, and Pembroke, encompassing an area of 66 square miles with a population of 44,620. Republican Kenneth Sweezey is the current representative, having defeated Democrat Rebecca Coletta in the 2024 election with 53% of the vote."
State Representative,Sixth Suffolk,2023-01-04,The Massachusetts Sixth Suffolk State Representative District is located in Boston and is currently represented by Democratic incumbent Russell E. Holmes. The district is predominantly minority (91%) with a significant Black population (57%) and has been consistently held by Democratic representatives who have run unopposed in elections since 2010.
State Representative,Sixth Worcester,2023-01-04,"The Massachusetts Sixth Worcester State Representative District encompasses Charlton (precincts 1, 2, 3, 4A), Dudley, Southbridge, and Spencer (precinct 1), covering about 84 square miles with a population of 43,277. The district is currently represented by Republican John J. Marsi, Jr. of Dudley, who won a special election in March 2024 and was reelected in November 2024 with 62% of the vote."
State Representative,Tenth Bristol,2023-01-04,"The Massachusetts Tenth Bristol State Representative District is located in southeastern Massachusetts, encompassing all of Fairhaven, Marion, and Mattapoisett, as well as portions of Acushnet, New Bedford, and Rochester. The current representative is Democrat Mark David Sylvia of Fairhaven, who won the seat in the 2024 election with 53% of the vote against Republican Joseph M. Pires."
State Representative,Tenth Essex,2023-01-04,The Massachusetts Tenth Essex State Representative District is located entirely within the city of Lynn and is currently represented by incumbent State Representative Daniel H. Cahill (D-Lynn). Representative Cahill has run unopposed in every election since he first won the seat in a special election in 2016.
State Representative,Tenth Hampden,2023-01-04,"The Massachusetts Tenth Hampden State Representative District is located entirely in Springfield and is currently represented by Democratic incumbent Carlos Gonzalez of Springfield. The district has a predominantly minority population (84%) with high poverty rates (42%), and Gonzalez has been re-elected without opposition since first winning the seat in 2014."
State Representative,Tenth Middlesex,2023-01-04,"The Massachusetts Tenth Middlesex State Representative District includes portions of Newton, Waltham, and Watertown, covering an area of 5 square miles with a population of 43,110. The district is currently represented by incumbent John J. Lawn, Jr. (D-Watertown), who has held the seat since winning a special election in 2011 and has run unopposed in most recent elections."
State Representative,Tenth Norfolk,2023-01-04,"This Massachusetts legislative district is currently represented by Democrat Jeffrey N. Roy of Franklin, who has held the seat since 2012. The district encompasses the town of Franklin and precincts 2, 3, and 4 of Medway, covering 35 square miles with a population of approximately 42,377 residents."
State Representative,Tenth Plymouth,2023-01-04,"The Massachusetts Tenth Plymouth State Representative District is located entirely within the city of Brockton, comprising precincts 4-A through 6-D. The district is currently represented by incumbent Democrat Michelle Marie Dubois of Brockton, who has held the seat since 2014."
State Representative,Tenth Suffolk,2023-01-04,"The Tenth Suffolk State Representative District in Massachusetts encompasses parts of Boston and Brookline, covering about 8 square miles. The current incumbent is William Macgregor (D-Boston), who won a special election in 2023 and was re-elected in 2024. Previously, the district was represented by Edward Coppinger from 2010 to 2022."
State Representative,Tenth Worcester,2023-01-04,"The Massachusetts Tenth Worcester State Representative District includes the towns of Hopedale, Mendon, and Milford. The current incumbent is Brian William Murray, a Democrat from Milford, who has represented the district since 2016 and has won his most recent elections unopposed."
State Representative,Third Barnstable,2023-01-04,"The Massachusetts Third Barnstable State Representative District covers parts of Bourne and Falmouth, as well as Mashpee, with a total population of 44,429. The district is currently represented by Republican David T. Vieira of Falmouth, who has held the seat since defeating Democrat Matthew Patrick in 2010 and most recently won reelection in 2024."
State Representative,Third Berkshire,2023-01-04,"The Massachusetts Third Berkshire State Representative District covers 18 towns in western Massachusetts including Great Barrington, Lenox, and several other Berkshire County communities. The district is currently represented by Democrat Leigh Susan Davis of Great Barrington, who won the seat in 2024 with 57% of the vote against independent candidate Marybeth F. Mitts."
State Representative,Third Bristol,2023-01-04,"The Massachusetts Third Bristol State Representative District encompasses parts of Taunton and Easton, with a population of 46,224. The current representative is Carol Ann Doherty, a Democrat from Taunton, who won the 2022 election with 57% of the vote against Republican Christopher P. Coute."
State Representative,Third Essex,2023-01-04,"The Third Essex State Representative District in Massachusetts is represented by Democratic incumbent Andres X. Vargas from Haverhill. The district encompasses 18 precincts in Haverhill and has a population of approximately 46,201 residents."
State Representative,Third Hampden,2023-01-04,"The Massachusetts Third Hampden State Representative District is currently represented by incumbent Republican Nicholas A. Boldyga of Southwick. The district covers parts of Agawam and several small towns in western Massachusetts, with a predominantly white (90%) population of about 43,842 residents."
State Representative,Third Hampshire,2023-01-04,"The Massachusetts Third Hampshire State Representative District encompasses Amherst and parts of Granby (precincts 1 and 2A), covering 42 square miles with a population of 36,357. The incumbent is Democrat Mindy Domb of Amherst, who has represented the district since winning election in 2018."
State Representative,Third Middlesex,2023-01-04,"The Massachusetts Third Middlesex State Representative District is currently represented by incumbent Democrat Kate Hogan of Stow, who has held the seat since 2008. The district encompasses the towns of Bolton, Hudson, Maynard, and Stow in Middlesex County."
State Representative,Third Norfolk,2023-01-04,"The Third Norfolk State Representative District is currently represented by Ronald Mariano (D-Quincy), who has held the seat since 1991 and serves as Speaker of the House. The district covers parts of Quincy, Weymouth, and Holbrook with a population of approximately 41,814 people."
State Representative,Third Plymouth,2023-01-04,"The Massachusetts Third Plymouth State Representative District includes the towns of Cohasset, Hingham, and Hull. The current incumbent is Joan Meschino (D-Hull), who has represented the district since 2016 and has run unopposed in the last three election cycles (2020, 2022, and 2024)."
State Representative,Third Suffolk,2023-01-04,"The Massachusetts Third Suffolk State Representative District covers a small area of about 1 square mile in Boston, encompassing parts of several Boston precincts. The incumbent is House Ways and Mean Chair Aaron M. Michlewitz of Boston, who has held the seat since winning a special election in 2009, and has run unopposed in every regular election since taking office."
State Representative,Third Worcester,2023-01-04,"The Massachusetts Third Worcester State Representative District is primarily located in Fitchburg with some precincts from Lunenburg. The district is currently represented by incumbent Democrat Michael P. Kushmerek of Fitchburg, who has held the seat since 2020."
State Representative,Thirteenth Bristol,2023-01-04,"The Massachusetts Thirteenth Bristol State Representative District is located entirely within New Bedford and is currently represented by incumbent Democrat Antonio F.D. Cabral, who has held the seat since at least 1990. The district encompasses multiple precincts in New Bedford, covering an area of approximately 5 square miles."
State Representative,Thirteenth Essex,2023-01-04,"The Thirteenth Essex State Representative District in Massachusetts covers parts of Danvers, Middleton, Peabody, Topsfield, and Wenham, spanning 30 square miles with a population of 44,833. The district is predominantly white (88%) with a 4% poverty rate and 36% college-educated population. It is currently represented by Democratic incumbent Sally P. Kerans of Danvers, who reclaimed the seat in 2020 after previously serving in the early 1990s."
State Representative,Thirteenth Middlesex,2023-01-04,"This legislative district encompasses parts of Concord, Lincoln, Marlborough, Sudbury, and Wayland. The current incumbent is Democrat Carmine Lawrence Gentile from Sudbury, who has represented the district since 2014 and most recently won reelection in 2024 with 74% of the vote."
State Representative,Thirteenth Norfolk,2023-01-04,"The Massachusetts Thirteenth Norfolk State Representative District includes all of Dover, parts of Medfield, and all of Needham, covering a predominantly white, affluent area with low poverty rates. The district is currently represented by Joshua Tarsky, a Democrat from Needham, who won the seat in 2024 with 61% of the vote after longtime Democratic representative Denise C. Garlick held the position from 2010 to 2022."
State Representative,Thirteenth Suffolk,2023-01-04,"The Massachusetts Thirteenth Suffolk State Representative District is represented by incumbent Daniel J. Hunt (D-Boston). The district is located entirely within Boston, encompassing parts of Dorchester and surrounding neighborhoods. Hunt has held this seat since winning a special election in 2014, running unopposed in every election since then."
State Representative,Thirteenth Worcester,2023-01-04,"The Thirteenth Worcester State Representative District is located entirely in Worcester, Massachusetts, covering 13 precincts within the city. The district is currently represented by incumbent John J. Mahoney, Jr. (D-Worcester), who has held the seat since 2010 and has run unopposed in most recent elections."
State Representative,Thirtieth Middlesex,2023-01-04,"Massachusetts Thirtieth Middlesex State Representative District is currently represented by Richard M. Haggerty (Democrat) from Woburn. The district encompasses parts of Reading (precincts 2-6) and Woburn (multiple precincts), covering an area of 13 square miles with a population of approximately 46,920."
State Representative,Thirty-Fifth Middlesex,2023-01-04,"The Massachusetts Thirty-Fifth Middlesex State Representative District covers parts of Malden and Medford, with a population of 42,781. The district is currently represented by incumbent Paul J. Donato, Sr. (D-Medford), who has won consecutive elections since 2002, often running unopposed."
State Representative,Thirty-First Middlesex,2023-01-04,"The Massachusetts Thirty-First Middlesex State Representative District covers parts of Stoneham and Winchester, with a population of 43,563. The incumbent is Democrat Michael Seamus Day of Stoneham, who has held the seat since 2014 and is running unopposed in the 2024 election."
State Representative,Thirty-Fourth Middlesex,2023-01-04,"The Massachusetts Thirty-Fourth Middlesex State Representative District is represented by incumbent Democrat Christine P. Barber of Somerville, who has served the district since 2014. The district includes parts of Medford and Somerville in the eastern part of the state."
State Representative,Thirty-Second Middlesex,2023-01-04,"The Massachusetts Thirty-Second Middlesex State Representative District covers parts of Malden, all of Melrose, and precincts 4, 5, and 6 in Wakefield. The district is currently represented by Democratic incumbent Kate Lipper-Garabedian of Melrose, who has held the seat since winning a special election in March 2020."
State Representative,Thirty-Seventh Middlesex,2023-01-04,"The Thirty-Seventh Middlesex State Representative District in Massachusetts is currently represented by Democrat Danillo A. Sena of Acton. The district includes portions of Acton, as well as Ayer, Boxborough, part of Groton, Harvard, and Shirley, covering an area of 86 square miles in north-central Massachusetts."
State Representative,Thirty-Sixth Middlesex,2023-01-04,"The Thirty-Sixth Middlesex State Representative District in Massachusetts includes the towns of Dracut and Tyngsborough. It is currently represented by Democrat Colleen M. Garry of Dracut, who has held this seat since at least 2002 and has won several elections, sometimes unopposed."
State Representative,Thirty-Third Middlesex,2023-01-04,"The Thirty-Third Middlesex State Representative District is located entirely within Malden, covering 18 precincts of the city. It is currently represented by Democrat Steven Ultrino of Malden, who has won every election since 2014, running unopposed in the most recent elections."
State Representative,Twelfth Bristol,2023-01-04,"The Massachusetts Twelfth Bristol State Representative District covers Berkley, Lakeville, parts of Middleborough (precincts 2, 4, 5, 7), and parts of Taunton (precincts 3-A, 3-B, 4-A, 4-B). The current incumbent is Norman J. Orrall, a Republican from Lakeville, who has held the seat since winning election in 2018."
State Representative,Twelfth Essex,2023-01-04,"The Massachusetts Twelfth Essex State Representative District covers Peabody (all 15 precincts) with a population of 44,442. The current incumbent is Thomas P. Walsh, a Democrat from Peabody, who has represented the district since 2016 and previously served from 1990-1994."
State Representative,Twelfth Hampden,2023-01-04,"The Massachusetts Twelfth Hampden State Representative District is currently represented by incumbent Democrat Angelo J. Puppolo, Jr. of Springfield. The district includes parts of East Longmeadow, Monson, Springfield, and Wilbraham, with a population of approximately 44,026 people."
State Representative,Twelfth Middlesex,2023-01-04,"The Massachusetts Twelfth Middlesex State Representative District includes parts of Brookline and Newton, with a population of 44,561. The current incumbent is Democrat Greg Schwartz from Newton, who will represent the district following the 2024 election after a long tenure by Ruth B. Balser, who had represented the district since at least 2002."
State Representative,Twelfth Norfolk,2023-01-04,"The Massachusetts Twelfth Norfolk State Representative District is represented by incumbent Democrat John H. Rogers of Norwood, who has held the seat since at least 1992. The district covers the town of Norwood and several precincts in Walpole, with a population of about 44,415 people."
State Representative,Twelfth Plymouth,2023-01-04,"The Twelfth Plymouth State Representative District in Massachusetts includes parts of Halifax, Kingston, Middleborough, Pembroke, Plymouth, and Plympton, covering 77 square miles with a population of 45,094. The district is currently represented by incumbent Democrat Kathleen R. LaNatra of Kingston, who was most recently reelected in 2024."
State Representative,Twelfth Suffolk,2023-01-04,"The Massachusetts Twelfth Suffolk State Representative District is currently represented by Democrat Brandy Fluker Oakley of Boston who has held the seat since 2020. The district encompasses parts of Boston and Milton, with a predominantly minority population (83%) that includes portions of the Dorchester, Mattapan, and Hyde Park neighborhoods."
State Representative,Twelfth Worcester,2023-01-04,"The 12th Worcester State Representative District in Massachusetts is currently represented by Democratic incumbent Meghan Kilcoyne of Clinton. The district encompasses Berlin, Boylston, Clinton, Lancaster, Sterling, and part of Northborough, covering a mostly white, suburban/rural area in central Massachusetts."
State Representative,Twentieth Middlesex,2023-01-04,"The Massachusetts Twentieth Middlesex State Representative District is currently represented by incumbent Republican Bradley H. Jones, Jr. of North Reading, who has held the seat continuously since at least 2002. The district includes parts of Lynnfield, Middleton, North Reading, and Reading, covering an area of 41 square miles with a population of approximately 44,611."
State Representative,Twenty-Eighth Middlesex,2023-01-04,"The Twenty-Eighth Middlesex State Representative District is located entirely within the city of Everett, Massachusetts. The current incumbent is Democratic State Representative Joseph W. McGonagle, Jr. of Everett, who has represented the district since 2014.
"
State Representative,Twenty-Fifth Middlesex,2023-01-04,"The Massachusetts Twenty-Fifth Middlesex State Representative District is located entirely in Cambridge and is currently represented by Democratic incumbent Marjorie C. Decker. The district has been consistently held by Democrats, with Rep. Decker winning her elections with overwhelming majorities, often running unopposed."
State Representative,Twenty-First Middlesex,2023-01-04,"Massachusetts Twenty-First Middlesex State Representative District is currently represented by Kenneth I. Gordon (D-Bedford) who has been serving since 2012 and has run unopposed in the last four elections. The district covers Bedford, Burlington, and part of Lexington (Precinct 6)."
State Representative,Twenty-Fourth Middlesex,2023-01-04,"The Massachusetts Twenty-Fourth Middlesex State Representative District is currently represented by incumbent David M. Rogers (D-Cambridge), who has run unopposed in every election since 2014. The district covers parts of Arlington, Belmont, and Cambridge, encompassing approximately 7 square miles with a population of 46,340."
State Representative,Twenty-Ninth Middlesex,2023-01-04,"The Massachusetts Twenty-Ninth Middlesex State Representative District is currently represented by incumbent Democrat Steven C. Owens of Watertown. The district encompasses parts of Cambridge (8 precincts) and all of Watertown (8 precincts), covering approximately 5 square miles with a population of 43,429."
State Representative,Twenty-Second Middlesex,2023-01-04,"This district covers the town of Billerica and is currently represented by Republican incumbent Marc T. Lombardo, who has held the seat since 2010 and won his most recent election in 2022 with 54% of the vote against Democratic challenger Teresa Nicole English."
State Representative,Twenty-Seventh Middlesex,2023-01-04,"The Massachusetts Twenty-Seventh Middlesex State Representative District is located entirely within Somerville and is currently represented by Democrat Erika Uyterhoeven, who has held the seat since 2021. The district is highly Democratic, with the incumbent typically winning without Republican opposition."
State Representative,Twenty-Sixth Middlesex,2023-01-04,"This district, covering parts of Cambridge and Somerville, is currently represented by incumbent Democrat Mike Connolly of Cambridge. The district has a population of 47,124 people and has been held by Connolly since he was first elected in 2016."
State Representative,Twenty-Third Middlesex,2023-01-04,"The Twenty-Third Middlesex State Representative District in Massachusetts includes portions of Arlington (15 precincts) and Medford (3 precincts). The current incumbent is Sean Garballey (Democrat) from Arlington, who has held the seat since winning a special election in March 2008 and has run unopposed in most subsequent elections."
State Senate,"Berkshire, Hampden, Franklin and Hampshire",2023-01-04,"The Massachusetts Berkshire, Hampden, Franklin and Hampshire State Senate District encompasses 57 cities and towns covering 1,676 square miles in western Massachusetts. The incumbent is Democrat Paul W. Mark from Becket, who won reelection in 2024 with 71% of the vote against Republican challenger David A. Rosa."
State Senate,Bristol and Norfolk,2023-01-04,"The Massachusetts Bristol and Norfolk State Senate District is currently represented by Democratic incumbent Paul R. Feeney from Foxborough. The district covers parts of southeastern Massachusetts including Attleboro, Canton, Foxborough, Mansfield, North Attleborough, Norton, and Sharon."
State Senate,Cape and Islands,2023-01-04,"The Massachusetts Cape and Islands State Senate District covers the Cape Cod region, Martha's Vineyard, and Nantucket, spanning 19 towns with a total population of 169,739 across 407 square miles. The current incumbent is Julian Andre Cyr, a Democrat from Provincetown who has represented the district since 2017 and was most recently reelected in 2024."
State Senate,Fifth Middlesex,2023-01-04,"The Massachusetts Fifth Middlesex State Senate District is currently represented by Democrat Jason M. Lewis of Winchester, who has held the seat since winning a special election in 2014. The district includes Malden, Melrose, Reading, Stoneham, Wakefield, and part of Winchester, covering 37 square miles in the northeastern suburbs of Boston."
State Senate,First Bristol and Plymouth,2023-01-04,"The Massachusetts First Bristol and Plymouth State Senate District encompasses Fall River, Freetown, Lakeville, Rochester, Somerset, Swansea, and Westport, covering 237 square miles with a population of 171,292. The current incumbent is Democratic State Senator Michael J. Rodrigues of Westport, who has represented the district since 2010 and ran unopposed in the 2024 election."
State Senate,First Essex,2023-01-04,"The Massachusetts First Essex State Senate District is currently represented by Democratic incumbent Pavel M. Payano of Lawrence, who has held the seat since 2022. The district encompasses parts of Haverhill and all of Lawrence and Methuen, covering 34 square miles with a population of 164,705. It is a diverse district with a 67% minority population, including 59% Hispanic residents."
State Senate,First Essex and Middlesex,2023-01-04,"The Massachusetts First Essex and Middlesex State Senate District is represented by longtime Republican incumbent Bruce E. Tarr of Gloucester, who has held the seat since 1994. The district covers multiple communities across northeastern Massachusetts including parts of Essex and Middlesex counties, with a predominantly white (90%) population of 176,199 residents."
State Senate,First Middlesex,2023-01-04,"The First Middlesex State Senate District of Massachusetts is currently represented by incumbent Vanna Howard (D-Lowell) who was elected in a special election to replace Edward J. Kennedy (D-Lowell) who died on October 1, 2025. The district is located in northeastern Massachusetts and includes the municipalities of Lowell, Dracut, Dunstable, Pepperell, and Tyngsborough."
State Senate,First Plymouth and Norfolk,2023-01-04,"This district is represented by incumbent Republican Patrick A. O'Connor of Weymouth, who won reelection in 2022 with 61% of the vote. The district includes the towns of Cohasset, Duxbury, Hingham, Hull, Marshfield, Norwell, Scituate, and Weymouth, covering 146 square miles along Massachusetts' South Shore region."
State Senate,First Suffolk,2023-01-04,"The Massachusetts First Suffolk State Senate District is currently represented by Democratic incumbent Nicholas P. Collins from Boston. The district includes parts of Boston, covering 12 square miles with a population of 179,012, and encompasses a diverse area with 54% minority population."
State Senate,First Worcester,2023-01-04,"The First Worcester State Senate District is currently represented by Robyn K. Kennedy (D-Worcester), who is running unopposed in the 2024 election. The district encompasses parts of Worcester and several surrounding towns, with 58% white and 42% minority population, covering an area of 107 square miles."
State Senate,Fourth Middlesex,2023-01-04,"The Massachusetts Fourth Middlesex State Senate District is currently represented by incumbent Democrat Cindy F. Friedman of Arlington, who has held the seat since winning a special election in 2017. The district encompasses Arlington, Billerica, Burlington, parts of Lexington (precincts 1, 2, 4, 5, 6, 7), and Woburn."
State Senate,Hampden,2023-01-04,"The Massachusetts Hampden State Senate District is currently represented by Adam Gomez (D-Springfield), who has been in office since 2020 and was most recently reelected unopposed in 2022. The district covers parts of Springfield and Chicopee, with a diverse population that is 69% minority (48% Hispanic, 16% Black) and has a 25% poverty rate."
State Senate,Hampden and Hampshire,2023-01-04,"The Hampden and Hampshire State Senate District in Massachusetts is currently represented by incumbent Democratic Senator John C. Velis of Westfield. The district covers parts of western Massachusetts, including all or portions of Agawam, Chicopee, Easthampton, Holyoke, Montgomery, Russell, Southampton, West Springfield, and Westfield. The district has a total population of 167,016 and has traditionally leaned Democratic in recent elections."
State Senate,"Hampden, Hampshire and Worcester",2023-01-04,"This state senate district includes parts of Chicopee and Springfield, as well as several complete towns including Belchertown, East Longmeadow, Granby, Hampden, Longmeadow, Ludlow, Palmer, South Hadley, Warren, and Wilbraham. The district is currently represented by Democrat Jacob R. Oliveira of Ludlow, who first won the seat in 2022 with 56% of the vote and is running unopposed in 2024."
State Senate,"Hampshire, Franklin and Worcester",2023-01-04,"The Massachusetts Hampshire, Franklin and Worcester State Senate District is currently represented by incumbent Jo Comerford (D-Northampton) who has held the seat since 2018 and has run unopposed in recent elections. The district spans 25 municipalities in western Massachusetts including Amherst, Northampton, Greenfield, and surrounding towns, covering 783 square miles with approximately 160,574 residents."
State Senate,Middlesex and Norfolk,2023-01-04,"The Massachusetts Middlesex and Norfolk State Senate District, represented by incumbent Karen E. Spilka (D-Ashland), encompasses the cities/towns of Ashland, Framingham, Holliston, Hopkinton, Medway, and Natick. Spilka has won re-election unopposed in the most recent elections."
State Senate,Middlesex and Suffolk,2023-01-04,"The Massachusetts Middlesex and Suffolk State Senate District is represented by incumbent Sal N. DiDomenico (D-Everett), who has won his elections with 100% of the vote since at least 2012. The district covers parts of Boston and Cambridge, as well as Chelsea and Everett, with a diverse population that is 56% minority residents."
State Senate,Middlesex and Worcester,2023-01-04,"The Middlesex and Worcester State Senate District in Massachusetts is currently represented by Democratic incumbent James B. Eldridge from Marlborough, who has held the seat since 2008. The district encompasses several towns in eastern Massachusetts including Acton, Ayer, Boxborough, Harvard, Hudson, Littleton, Marlborough, Maynard, Southborough, Stow, Sudbury, and Wayland."
State Senate,Norfolk and Middlesex,2023-01-04,"This Massachusetts state senate district is represented by incumbent Democrat Cynthia Stone Creem of Newton, who has run unopposed in recent elections. The district covers parts of Brookline, Newton, and Wellesley, with a total population of about 181,313."
State Senate,Norfolk and Plymouth,2023-01-04,"This Massachusetts Norfolk and Plymouth State Senate district is currently represented by John F. Keenan (D-Quincy), who has held the seat since 2010 and ran unopposed in the 2024 election. The district includes parts of Braintree, as well as Abington, Hanover, Holbrook, Quincy, and Rockland."
State Senate,Norfolk and Suffolk,2023-01-04,"The Norfolk and Suffolk State Senate District in Massachusetts is represented by incumbent Michael F. Rush (D-Boston), who has run unopposed since at least 2012. The district encompasses parts of Boston as well as Dedham, Norwood, Walpole, and Westwood, with a population of 183,656 that is predominantly white (69%) with 31% minority residents."
State Senate,"Norfolk, Plymouth and Bristol",2023-01-04,"This is a Massachusetts state senate district with an incumbent Democrat, William J. Driscoll, Jr. of Milton (who appears to be replacing Walter F. Timilty, Jr.). The district includes parts of Braintree and Randolph, as well as the towns of Bridgewater, Easton, Milton, Stoughton, and West Bridgewater, covering an area of 120 square miles with a population of 166,202."
State Senate,"Norfolk, Worcester and Middlesex",2023-01-04,"The Norfolk, Worcester and Middlesex State Senate District is currently represented by Democratic incumbent Rebecca L. Rausch of Needham, who won re-election in 2024 with 59% of the vote. The district spans 11 communities across three counties including Bellingham, Dover, Franklin, Medfield, Milford, Millis, Needham, Norfolk, Plainville, Sherborn, and Wrentham."
State Senate,Plymouth and Barnstable,2023-01-04,"The Massachusetts Plymouth and Barnstable State Senate District covers towns including Bourne, Falmouth, Kingston, Mashpee, Pembroke, Plymouth, Plympton, and Sandwich. The district is currently represented by Democrat Susan Lynn Moran of Falmouth, who won her seat in the 2022 election with 56% of the vote."
State Senate,Second Bristol and Plymouth,2023-01-04,"The Massachusetts Second Bristol and Plymouth State Senate District is represented by long-serving Democratic incumbent Mark C. Montigny of New Bedford. The district encompasses parts of southeastern Massachusetts including Acushnet, Dartmouth, Fairhaven, Mattapoisett, and New Bedford."
State Senate,Second Essex,2023-01-04,"The Massachusetts Second Essex State Senate District is represented by incumbent Democratic Senator Joan B. Lovely of Salem, who has held the seat since 2012. The district covers parts of northeastern Massachusetts including Beverly, Danvers, Peabody, and Salem, with a population of approximately 167,000 residents."
State Senate,Second Essex and Middlesex,2023-01-04,"The Massachusetts Second Essex and Middlesex State Senate District is represented by incumbent Democrat Barry R. Finegold of Andover. The district spans portions of Essex and Middlesex counties, including Amesbury, Andover, parts of Haverhill, Merrimac, North Andover, Tewksbury, and Wilmington."
State Senate,Second Middlesex,2023-01-04,"The Massachusetts Second Middlesex State Senate District is currently represented by Democratic incumbent Patricia D. Jehlen of Somerville, who has held the seat since winning a special election in 2005. The district covers parts of Cambridge, Medford, Somerville, and Winchester, with a population of approximately 180,000 residents."
State Senate,Second Plymouth and Norfolk,2023-01-04,"The Massachusetts Second Plymouth and Norfolk State Senate District covers Avon, Brockton, East Bridgewater, Halifax, Hanson, parts of Randolph (precincts 1, 2, 3, 7, 8), and Whitman. The current incumbent is Michael D. Brady (D-Brockton), who won his most recent election in 2022 with 64% of the vote against Republican challenger Jim Gordon."
State Senate,Second Suffolk,2023-01-04,"This district is currently represented by incumbent State Senator Liz Miranda (D-Boston). The district encompasses parts of Boston, including sections of Dorchester, Roxbury, and parts of Jamaica Plain, with a diverse population that is 80% minority and 20% white."
State Senate,Second Worcester,2023-01-04,"The Massachusetts Second Worcester State Senate District is currently represented by incumbent Democratic Senator Michael O. Moore from Millbury, who has held the seat since 2008 and has run unopposed in the last four elections. The district includes portions of Worcester and the towns of Auburn, Grafton, Millbury, Shrewsbury, and Westborough, with a population of approximately 167,287 residents."
State Senate,Suffolk and Middlesex,2023-01-04,"This Massachusetts state senate district, encompassing parts of Boston, Cambridge, Belmont, and Watertown, is currently represented by incumbent Democrat William N. Brownsberger from Belmont. The district has a population of approximately 174,633 residents and covers 17 square miles in the eastern part of the state."
State Senate,Third Bristol and Plymouth,2023-01-04,"The Third Bristol and Plymouth State Senate District, currently represented by Republican Kelly A. Dooner who narrowly defeated Democrat Joseph Richard Pacheco in 2024, covers ten communities in southeastern Massachusetts including Taunton, Wareham, Middleborough, and several other towns. The district has a predominantly white (83%) population with 43% classified as white working-class, and spans an area of 339 square miles."
State Senate,Third Essex,2023-01-04,"The Massachusetts Third Essex State Senate District is currently represented by Democrat Brendan Peter Crighton of Lynn, who has held the seat since winning a special election in 2018 and has run unopposed in most elections. The district includes Lynn, Lynnfield, Marblehead, Nahant, Saugus, and Swampscott, covering 42 square miles with a population of 179,487."
State Senate,Third Middlesex,2023-01-04,"The Massachusetts Third Middlesex State Senate District is represented by incumbent Democrat Michael J. Barrett of Lexington, who has served since 2012 and has run unopposed in the last four elections. The district encompasses parts of Middlesex County, including Bedford, Carlisle, Chelmsford, Concord, parts of Lexington, Lincoln, Waltham, and Weston."
State Senate,Third Suffolk,2023-01-04,"This Massachusetts state senate district includes parts of Boston, with a population of approximately 176,801 people. The incumbent is Lydia Marie Edwards (D-Boston), who won reelection in 2024 with 70% of the vote against Republican challenger Jeannamarie Tamas."
State Senate,Worcester and Hampden,2023-01-04,"This is a Massachusetts state senate district covering multiple towns in central Massachusetts, including Blackstone, Charlton, Dudley, and several others. The current incumbent is Ryan C. Fattman, a Republican from Sutton who won reelection in 2024 with 66% of the vote against Democratic challenger Anthony Allard."
State Senate,Worcester and Hampshire,2023-01-04,"This state senate district, currently represented by Peter J. Durant (R-Spencer) who won the seat in a 2023 special election, covers approximately 617 square miles of central Massachusetts. The district includes 21 municipalities, primarily rural and suburban towns in Worcester and Hampshire counties, along with several precincts in the city of Worcester."
